Messreihe;U (Durchschnitt);n (Durchschnitt)
1;52,64;0
2;100,46;0
3;150,3;0
4;199,72;0
5;249,48;0
6;278,4;0
7;290,94;0
8;294,72;0
9;299,32;0
10;291,48;192,64
11;309,06;251,56
12;314,1;259,4
13;321,32;262,64
14;329,24;262,52
15;341,62;266,48
16;348,94;263,6
17;362,9;270
18;374,34;272,4
19;374,92;273,52
20;374,637254902;274,5098039216
21;382,0397196262;275,7476635514
22;394,9906542056;270,5607476636
23;404,75;278,2
24;417,175;282,5
25;440,025;276,1
26;450,48;268,1
27;450,53;275,6
28;461,31;275,1
29;491,1805555556;282,6851851852
30;507,4607843137;277,6470588235
31;519,06;282,4
